"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}"
0,39.2699081698724,0,0,0,0,0,0.0983,0,0.2829,0,0.52,0,0,0
3.125e-005,39.2416208559842,0.0375962960359839,8.8384045893419e-008,-1.17470070413947e-007,0.00282828946858941,-0.00375904225324632,0.0982999999999996,8.68815171132307e-009,0.282899999999999,2.02897873198095e-008,0.519999999999997,-7.56236637533736e-009,0.000343071512539895,-4.36048901376573e-005
6.25e-005,39.2133928987343,0.0742335848794395,2.64952869314108e-007,-3.49395430126239e-007,0.00565020234946204,-0.00742161151079331,0.0982999999999965,2.60448670535765e-008,0.282899999999989,6.08865906717765e-008,0.519999999999975,-2.1955065811153e-008,0.000685369544989745,-8.60906935252024e-005
9.375e-005,39.1852233458721,0.109935704697617,5.2951020834518e-007,-6.92836251641972e-007,0.00846583484899433,-0.0109901062885035,0.0982999999999862,5.20508534803288e-008,0.282899999999958,1.21806704007141e-007,0.519999999999901,-4.24647712571578e-008,0.00102690576718301,-0.00012748523294664
0.00015625,39.1290184482309,0.179216798943026,1.26453116925394e-006,-1.63260331056034e-006,0.0140826495083103,-0.0179135168777498,0.0982999999999214,1.24303413937629e-007,0.282899999999762,2.91391488194122e-007,0.519999999999446,-9.56987567395631e-008,0.00170822538535804,-0.000207796795781897
0.00021875,39.0730207457156,0.245248502235685,2.32152888099018e-006,-2.95907632308909e-006,0.0196771347712752,-0.024510054841953,0.0982999999997351,2.2820628900113e-007,0.282899999999199,5.35834661258264e-007,0.519999999998161,-1.65762334945136e-007,0.00238683644775568,-0.000284316636166655
0.00034375,38.9616707757185,0.367514207220824,5.48522787820539e-006,-6.77428545480549e-006,0.0307963132760025,-0.0367175492948083,0.0982999999985212,5.39197900424886e-007,0.282899999995563,1.27102811141239e-006,0.519999999990123,-3.35154969909708e-007,0.0037355928003791,-0.000425923571819777
0.00046875,38.851139103941,0.477675242685496,1.00253591936892e-005,-1.20216398376812e-005,0.0418267797971778,-0.0477074160693612,0.09829999999506,9.85492808723135e-007,0.282899999985279,2.33129783803925e-006,0.519999999968146,-5.19032967406312e-007,0.00507358838939767,-0.000553406026404589
0.00059375,38.7413841162103,0.576796412857918,1.59364632196893e-005,-1.856965738172e-005,0.0527727230501106,-0.0575867929988832,0.0982999999875173,1.56655433442915e-006,0.282899999963036,3.71823528292688e-006,0.519999999922156,-6.84630482025876e-007,0.00640133130597842,-0.000668006798787045
0.00071875,38.6323645312927,0.665913002187065,2.3210024039831e-005,-2.62906504767709e-005,0.0636383137377768,-0.0664598469663226,0.0982999999735226,2.28154536291054e-006,0.282899999922054,5.43255035396556e-006,0.519999999840113,-8.00962873358736e-007,0.00771932745639233,-0.000770934224809342
0.00096875,38.4163952757378,0.817512436227051,4.18104650470447e-005,-4.48349677402787e-005,0.0851422370882301,-0.0815270687840037,0.0982999999140801,4.10996871292705e-006,0.282899999749729,9.84400014815602e-006,0.519999999511422,-7.86370699502567e-007,0.0103277533588023,-0.000945713997894442
0.00121875,38.2029541779399,0.939336164930975,6.57554274955479e-005,-6.68088340206976e-005,0.106366622055772,-0.093599572322994,0.0982999997874864,6.46375851815439e-006,0.282899999386803,1.55664888385864e-005,0.519999998857664,-2.73885695937262e-007,0.0129022712553651,-0.00108575503894673
0.00146875,37.9917969647205,1.03739108704512,9.49747936045262e-005,-9.14722665033558e-005,0.127336246547165,-0.103281747371995,0.0982999995566566,9.33602219728944e-006,0.282899998731568,2.25987314000477e-005,0.51999999773964,9.10657042346742e-007,0.0154458867061712,-0.00119806826951514
0.0017737019989707,37.7370706419752,1.13079428427126,0.000137668485019515,-0.000124462987547152,0.15259541036462,-0.11245711348939,0.0982999990684791,1.35328120346713e-005,0.282899997358788,3.29436035845385e-005,0.519999995522326,3.43342931329939e-006,0.0185098232772284,-0.00130450251647692
0.0020786539979414,37.4852245078073,1.20131732400422,0.000188016059498227,-0.000159919382758278,0.177528285909021,-0.11933213548663,0.0982999982625456,1.84819785397859e-005,0.28289999511167,4.52220213319742e-005,0.519999992079848,7.30513584160225e-006,0.0215341810807643,-0.00138425277164491
0.0023836059969121,37.2360392291642,1.25416164876991,0.000245919936198115,-0.000197202166877006,0.202157294389834,-0.124430154042606,0.0982999970275744,2.41739294846152e-005,0.282899991692765,5.94232531748254e-005,0.51999998708251,1.26666197113381e-005,0.0245216798094869,-0.00144338978689423
0.0029935099948535,36.7450445282252,1.32077208432493,0.000384048408283545,-0.00027553482366403,0.250566122123303,-0.130699534314173,0.0982999927507103,3.77519576062464e-005,0.282899979956609,9.35428363170584e-005,0.51999997095636,2.82135304529442e-005,0.0303936706135566,-0.00151611459804441
0.0036034139927949,36.2630425600829,1.35421990416701,0.000551378224583827,-0.000356570354494146,0.297929669856031,-0.133639138644231,0.0982999850575183,5.42004767302705e-005,0.282899959021887,0.000135192870182991,0.519999943949154,5.06500409239252e-005,0.0361388689535365,-0.00155021400827308
0.0042133179907363,35.7893670810069,1.36851204148178,0.000747287948168687,-0.000438601502624273,0.344317669145711,-0.134658196635057,0.0982999725527108,7.34583984679723e-005,0.282899925200246,0.000184250874352144,0.519999902394632,8.02584614141215e-005,0.0417657332673747,-0.00156203508096666
