"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}"
0,47.4071616609148,0.4595869242,0,0,0,0,0.0983,0,0.2829,0,0.52,0,0,0
7.8125e-006,47.398145054304,0.468200273069052,7.0439487604692e-009,-6.72891595566718e-009,0.000901625441340058,-0.0008613012423254,0.0983,6.92420163154123e-010,0.2829,1.67733450233721e-009,0.52,8.19085292485257e-011,0.000109367166034549,-9.99109441097463e-006
1.484375e-005,47.3900333238868,0.475906552643138,1.90708655586488e-008,-1.81883136861047e-008,0.00171273834847766,-0.00163187190274538,0.0983,1.87466608441517e-009,0.2829,4.54191266183688e-009,0.52,2.29463486861454e-010,0.000207755161670341,-1.89297140718464e-005
2.1875e-005,47.3819249845081,0.483564735139548,3.71148057972922e-008,-3.53286258131716e-008,0.00252348206664016,-0.00239760445082569,0.0982999999999999,3.64838540987382e-009,0.2829,8.84082397617434e-009,0.52,4.64406795871352e-010,0.000306098374683452,-2.7812211629578e-005
2.890625e-005,47.3738198381166,0.491177738808235,6.08400662311273e-008,-5.78038558453139e-008,0.00333387807949663,-0.00315879244154424,0.0982999999999998,5.98057851051981e-009,0.282899999999999,1.44947089212354e-008,0.519999999999999,7.89414700311476e-010,0.000404399411042941,-3.66419923219132e-005
4.296875e-005,47.3576167975758,0.506301445547843,1.21239835478406e-007,-1.14830642476807e-007,0.00495388013472112,-0.00467087798157194,0.0982999999999993,1.19178758275273e-008,0.282899999999998,2.88927355116667e-008,0.519999999999996,1.66639018041575e-009,0.000600905660341672,-5.41821845862344e-005
5.703125e-005,47.3414254743107,0.521260274379059,2.02619973116575e-007,-1.91315933532261e-007,0.00657260556054267,-0.0061663784382382,0.098299999999998,1.99175433573592e-008,0.282899999999994,4.83000581324203e-008,0.51999999999999,2.93905029192147e-009,0.000797257054493826,-7.15299898835631e-005
7.109375e-005,47.3252465936585,0.536044768021553,3.06387099451179e-007,-2.88366780014772e-007,0.00818997479013548,-0.00764434254825518,0.0982999999999954,3.01178518760504e-008,0.282899999999987,7.30570465949671e-008,0.519999999999977,4.68528305346554e-009,0.000993443942043433,-8.86743735597601e-005
9.921875e-005,47.292926423555,0.565091805897923,5.8223933922037e-007,-5.43982813988888e-007,0.0114206125392853,-0.0105477682557224,0.0982999999999833,5.72341270453591e-008,0.282899999999953,1.38925021756943e-007,0.519999999999917,9.94669656018358e-009,0.00138532030101531,-0.000122354111766379
0.00015546875,47.2284334410449,0.621167598085226,1.40574452999039e-006,-1.29273893470915e-006,0.0178657932643407,-0.016151603693849,0.0982999999999029,1.3818468729801e-007,0.282899999999724,3.3588985619255e-007,0.519999999999526,2.93814547730962e-008,0.00216712072296453,-0.000187358602848648
0.000203184417394443,47.1738773977686,0.666678164319548,2.38808188464344e-006,-2.1697111922637e-006,0.0233164859051959,-0.0206982754559935,0.0982999999997197,2.34748449260227e-007,0.282899999999205,5.71214903703904e-007,0.519999999998647,5.67763800185845e-008,0.00282828974030026,-0.000240099995289524
0.000250900084788887,47.1194575517742,0.710382111098911,3.63008929752348e-006,-3.25856596297788e-006,0.0287522604675795,-0.0250632258600762,0.0982999999993523,3.56837777945774e-007,0.282899999998165,8.6920205680197e-007,0.519999999996907,9.65960669812819e-008,0.00348764919471739,-0.000290733419976884
0.00029861575218333,47.0651713420541,0.75234284659008,5.13111323421145e-006,-4.55148856543127e-006,0.0341733763199004,-0.0292528347961808,0.098299999998706,5.04388430920772e-007,0.28289999999634,1.22986035274111e-006,0.519999999993884,1.50702413881078e-007,0.00414523054760391,-0.000339332883635697
0.000346331419577773,47.0110160920411,0.79262660901699,6.89046371176107e-006,-6.04031578810281e-006,0.0395801045688184,-0.0332737669027585,0.0982999999976664,6.77332582860753e-007,0.28289999999341,1.65319733349699e-006,0.519999999989085,2.21038460146521e-007,0.00480106668419767,-0.000385975696071998
